Response ID,Date submitted,Last page,Start language,Seed,Date started,Date last action,Gender,Age,Consent,Basket,Cheese,Cloud,Liquid,Nail,Cat,Dog ,Horse,Domestic,Hood,Routine,Symbol,Corridor,Peace,Ladder,Elephant,Dizzy,Poison,Hay,Mathematics,Giraffe,Squirrel,Echo,Bean,Lilac,Mouse,Tiger,Yellow,Orange,Black,Red,Grey,Blue,Brown,White,Beige,Green,Pink,Violet,Turquoise,Interest,Amusement,Pride,Joy,Contentment,Admiration,Love,Relief,Compassion,Purple,Pleasure,Sadness,Guilt,Regret,Shame,Disappointment,Maroon ,Fear,Disgust,Contempt,Hate,Anger,Profession,Native_language,Fluency,Fluency_other,Country_origin,Country_residence
815,2019-11-18 11:36:26,65,fr,,2019-11-18 11:28:12,2019-11-18 11:36:26,Male,20,Yes,marché,gruyère,ciel,détergent,cassé,allérgie,respect,equitation,riche,racaille,ennui,religion,vert,colombe,pompier,trompe,bobet,friture,ferme,nul,bar,brun,echo,légume,fleur,gris,animal,mathématiques,fruit,nuit,sang,pluie,ciel,cheveux,hoptial,pantalon,champs,fleur,violet,calme,hobby,plaisir,coeur,bohneur,compromis,beauté,coeur,appaisement,aide,couleur,sexualité,pleurs,remords,passé,déception,tristesse,armée,fuite,vomi,colère,icompréhension,rouge,étudiant,Français,8 (Fluent),,Suisse,Suisse
817,2019-11-18 11:49:31,65,de,,2019-11-18 11:35:53,2019-11-18 11:49:31,Female,46,Yes,Blumen,Lecker,Schweben,Wasser,Metall,Eigener Wille,Treue,Genuss,Wärme,Warm,Langeweile,Energie,Leere,Entspannung,Höhe,Riesig,Drehwurm,Rattenköder,Duft,Zahlen,Stolz,Entzückend,Berge,Chillieintopf,Freundlichkeit,Niedlich,Gewaltig,Notwendig,Früchte,Schutz,Liebe,Stadt,Konservativ,Erde,Unschuld,Fade,Landschaft,Lieblich,Veilchen,Meer,Aufgeschlossen,Traurig,Pfau,Kinder,Glück,Vorbild,Überall,Leichtigkeit,Liebe,Kraft,Spaß,Tod,Unschuld,Fehler,Röte,Erwartungen,Herbst,Dunkelheit,Schleim,Unnötig,Angst,Ärger,Selbstständig,Drutsch,8 (Fluent),,Austria,Austria
821,2019-11-18 13:31:21,65,de,,2019-11-18 13:12:00,2019-11-18 13:31:21,Female,22,Yes,"flechten, sammeln, Markt","ungesund, Milch, Kuh","Wasser, Himmel, weiß","Wasser, Urin, Saft","spitz, Kopf, silber","süß, verspielt, verschmust","bellen, spazieren, wild","reiten, Leah, Paula","gemütlich, Einrichtung, schön","Pullover, Jacke, warm","Zähne, Haare, Influencer","Dreieck, Herz, Emoji","Flur, Türen, zu","Taube,  weiß, schön","Dach, Schornsteinfeger, Baustelle","groß, Tier, toll","hoch, Turm, Höhenangst","Fläschchen, Tod, Film","Stroh, Nahrung, Tiere","Taschenrechner, Leistungskurs, Zahlen","lang, Hals, gefleckt","süß, Nüsse, anlocken","Halle, Ton, Schallen","Grün, gesund, lang","Farbe, Pflaume, Lavendel","Grau, klein, flink","Katze, gefährlich, gestreift","reich, viel, gefährlich","orange, rund, gesund","Weiß, Farbe, Rabe","Lippen, feuer, Herz","Schwarz, Weiß, Mischung","Farbe, Himmel, Wasser","Baum, Rinde, Kartoffel","Schwarz, Wolke, Schwan","Sand, Farbe, Leinen","Pflanzen, Natur, Liebe","Schwein, Puppe, Klisché","Pflaume, Blume, Wolle","Farbe, grün, blau","Studium, lernen, schlau","Film, Menschen, Clown","Eltern, Kind, Leistung","wichtig, lieb, cool","Glück, Familie, Job","wow, aufschauen, Vorbild","schön, Wunsch, traurig","aufatmen, Toilette, entspannt","traurig, wichtig, Menschlichkeit","rot, Wein, Wolle","Party, Freunde, Feier","Beerdigung, Oma, schwarz","zuweisen, blöd, haben","Entscheidung, getroffen, nicht","unangenehm, peinlich, blöd","Freunde, Beziehung, traurig","Sand, Gelb, Braun","Störung, Kinder, blöd","Schimmel, Fleisch, Nadel","unangenehm, schrecklich, Personen","Niemanden, traurig, vermeiden","sauer, rot, kopf",Studentin,Deutsch,8 (Fluent),,Deutschland,Deutschland
823,2019-11-18 14:42:12,65,fr,,2019-11-18 14:18:22,2019-11-18 14:42:12,Male,23,Yes,"Poisson, Roseau, Linge","Frais, Fort, Pourri","Liberté, Force, Flexibilité","Eau, Doux, Bouteille","Rond, Incarné, Onglet","Chaud, Nourriture, Croquette","Fidèle, Admirable, Fort","Beau, Puissant, Compétitif","Maison, Confiance, Comportement","Caché, Manteau, Cape","Ennuyant, Long, régulier","Puissance, important, mystique","Linéaire, expressif, droit","Colombe, Olivier, Doré","Montée, Corde, Grange","Gros, Gris, Vieux","Idiot, Hirondelle, Vent","Vert, mauvais, boire","Ferme, Mal de tête, Vache","Dur, Sûr, Professeur","Cou, Museau, Arbre","Roux, Queue, Volant","Repos, chorale, église","Pousse, Coq, Hache","Violet, Frêle, Jeune","Verte, Agneau, Marie","Oriental, Puissance, Majestueux","champs, pétillant, jonquille","Scorbut, Pirate, Fort","Charbon, Retentissant, Sans fond","Chaud, Fort, Rassurant","Chevaliers, Brume, Grisouille","Mer, Océan, Calme","Cuir, Vermicelle, Ours","Cassé, Pur, Ciel","Os, Tissu, Sable","Pomme, Feuille, Rêve","Piquant, amour, rose","Or, Bannière, Roi","Tortue, Gemme, Bijoux","Finance, Réflexion, Internet","Amuse-bouche, Amateur, Muse","Hautain, Bon, Argent","Oie, Roi, Vert","Heureux, Soulagé, Mentir","Personne, Haut, Révé","Tord, Fort, Passion","Poids, Libération, Aigle","Fort, Direct, Passion","Pourpre, Drapé, Or","Sexe, Rose, Or","Liesse, Bleu, Pluie","Dur, Violent, Sombre","Tristesse, douleur, opportunité","Vert, Pleurs, Terre","Tristesse, Colère, Désappointement","Vermicelle, Cuir, Peinture","Sombre, Fin, Squelette","Poisson, Odeur, Hautain","Hautain, Méchant, Epis","Violence, Destructeur, Anse","Folie, Pouvoir, Libérateur",étudiant,français,8 (Fluent),,Suisse,Suisse
824,2019-11-18 14:30:09,65,de,,2019-11-18 14:21:20,2019-11-18 14:30:08,Female,39,Yes,voll,gelb,regen,nass,hauen,eklig,stinkt,Essen,Kinder,Regen,immee,Zeichen,lang,wenig,klettern,grau,übel,grün,stroh,grau,helb,Nüsse,wald,grpn,traube,klein,gross,wenig,?,lieblingsfarbe,wut,maus,wasser,Schokolade,schner,Hamster,giftig,liebe,Traube,meer,gross,Scherz,kinder,kinder,Selten,?,Familie,Geburt,Weinen,wein,Freizeit,tod,Zugeben,nichts,Fremde,trauer,gold,Schlange,Schlange,Böses,Familie,lügner,Hausfrau,deutsch,8 (Fluent),,Wien - Österreich,Österreich
828,2019-11-18 16:39:05,65,de,,2019-11-18 16:28:33,2019-11-18 16:39:05,Female,22,Yes,Geflochten Ball Einkauf,Löcher gelb lecker,Grau Regen Dampf,Wasser flüssig Glibber,Silber dünn Hammer,Kater Pfote Gesicht,Tier Mensch Leine,Reiten Fressen Putzen,Mutti Schürze Haushalt,Jacke Kapuze Anorak,immer gleich Arbeit,Zeichen Word Schrift,Flur Diele lang,Taube weiße Fahne,Sprosse Holm Klettern,Grau Rüssel Stoßzahn,Hoch schlecht unwohl,Grün Totenkopf Dosis,Grün trocken Riechen,Zahlen Daten Fakten,Gelb braun groß,Puschel Nuss klettern,Hall Ton Preis,Edle gelb grün,und blau Schwangerschaft,grau braun eklig,Streifen orange schwarz,Scheine Münzen Konto,Orange Saft Kirmes,Schwarz Farbe Kleidung,Herz Blut Lippen,Grau Maus Wetter,Wasser Himmel Alkohol,Augen Herbst Jägerschnitzel,Deckweiß Wandweiß blass,Farbe Pulli Teint,Cordula Mai Baum,Schweinchen Mädchen Name,Lila Flieder Viola,Türkei Wasser Russisch,hell Intellekt Zeitung,Clown Lust Unterhaltung,Glanz Gold Oben,Sonne orange Vorfreude,gelb Lächeln Dankbarkeit,Staunen Strahlen Wunder,Rot Lukas Paar,Hell Leicht Abfallen,Mitleid Empathie Nett,Rot Rosa Mantel,Park Spaß lustig,Schwarz Grau Karte,Bewusst Kafka Last,Reue schlechtes Gewissen,Unwohl Peinlich Nervig,Herb Schade Traurig,September Pullover Malkasten,Schweiß bleich matt,Grün Schnecke Schleim,Hass Scham ächten,böse kotzen nerven,Rot Aggression Gefühl,Studentin der Psychologie,Deutsch,8 (Fluent),,Deutschland,Deutschland
829,2019-11-18 17:06:19,65,es,,2019-11-18 16:56:55,2019-11-18 17:06:19,Male,37,Yes,g,k,j,h,k,g,g,k,hfdhd,jhlhjl,g,jgjfhj,h,k,k,g,k,g,g,j,g,g,ljhlhjl,k,k,hljlghggl,k,lhlhflf,jlhlhjl,k,g,j,h,k,j,k,g,k,k,k,h,k,k,k,k,g,hjlh,g,amor,g,k,k,k,k,j,k,k,g,lhlhfl,k,k,g,g,g,Other,g,g,g
830,2019-11-18 17:20:39,65,de,,2019-11-18 17:03:05,2019-11-18 17:20:39,Female,25,Yes,"braun, holz, obst","stinkig, gelb, lecker","Regen, weiß, Himmel","Klar, Kalt, blau","Finger, grau, Metall","Maus, Haare, Orange","Haustier, grau, kuschelig","Braun, Geruch, Stall","warm, Mama, frieden","WInd, blau, Jacke","Weg, Blau, Rot","Kreuz, Zeichen, gelb","Schmal, beige, unbekannt","Taube, Weiß, Jesus","Holz, braun, fallen","grau, Maus, groß","hoch, blau, umfallen","Grün, schwarz, frosch","Kitzlig, grün, duftig","rot, Anstrengung, erstaunen","Afrika, gold, riesig","Braun, Nuss, Baum","Höhle, Fledermaus, Schrei","viollett, Lecker, Flatulenzen","Blüte, duft, Austria","Klein, Flauchig, korn","Zähne, Orange, Mundgeruch","gelb, grün, dreckig","Obst, Kamin, Blätter","Kahl, klar, matt","Liebe, Rose, Mama","Elefant, Labtop, Gehsteig","Meer, Segeln, Lukas","warm, stinken, Holz","Krankenhaus, Sauber, helfen","Mantel, kühl, Sand","WIese, Natur, Gesundheit","Unterhose, Prinzessin, peinlich","Blüte, Aroma, Oma","ÖVP, Wasser, frisch","Licht, Fröhlichkeit, Lernen","Lachen, rot, auslachen","Orange, hochnäsig, aufrecht","Strahlen, gelb, wärme","Lächeln, Orange, Qi Gong","Staunen, Berühmt, lächeln","Warm, Schön, Nähe","Luftballon, blau, lächeln","Orange, Kirche, Warm","Rot, Kaiser, Edel","Freude, Lachen, Freunde","Schwarz, allein, Träne","Selbstzweifel, dunkelrot, Wut","Unglück, braun, Zweifel","rosa, nackt, kalt","DUnkel, Angst, Traurigkeit","Langeweile, Dreck, Acker","Dunkel, eng, nass","Grün, Schimmel, Gestank","grün, Neid, Angst","Schwarz, Leere, Stein","Angst, Verzweiflung Rot",Studentin,Deutsch,8 (Fluent),,Österreich,Österreich
833,2019-11-18 19:38:01,65,es,,2019-11-18 19:17:49,2019-11-18 19:38:01,Female,29,Yes,compra,amarillo,algodon,solido,dedo,perro,gato,perro,felino,ropa,dia,icono,habitacion,pena,mesa,selva,vomito,frio,pienso,lengua,leon,arbol,sonido,lechuga,morado,queso,felino,rojo,verde,blanco,verde,marengo,mar,verde,negro,marron,rojo,verdejo,lila,azul,curiosidad,fiesta,ira,tristeza,feliz,ilusion,alegria,felicidad,amor,lila,dolor,amor,pena,culpa,culpa,prisa,amarillo,temor,miedo,odio,rencor,furia,profesor universidad,español,8 (Fluent),,españa,españa
836,2019-11-19 08:36:24,65,de,,2019-11-19 08:06:59,2019-11-19 08:36:24,Female,41,Yes,"braun, Weiden, starr","gelb, stinkt, schmilzt","weich, groß, weiß","Blasen, grün, Glas","hart, Eisen, verbogen","weiß, Charly, Micky","Mexx, schwarz, Eva","schwarz, dick, weich","armselig, eng, eingesperrt","warm, Sichteinschränkung, nervt","Rad, rund, schnell","Frieden, bunt, schön","Tür, Tunnel, hell","weiß, weich, hell","Sprossen, hoch, Holz","groß, Rüssel, grau","Kreislauf, mulmig, Flecken vor den Augen","Geschenk, ?, ?","sticht, raschelt, Pferd","Lehrer, anstrengend, Ehrgeiz","braun, gelb, Kranauto","braun, weich, Nuss","Berge, schreien, laut","violett, gesprenkelt, Käferbohne","Michaelikova, hell-violett, Musik","agouti, grau, weich","Dschungel, gelb, braun","super, viel, einkaufen","orange, Wachs, rund","dunkel, Stoff, ?","Lied, Kleid, Stuhl","Maus, Nebel, Wetter","blau, BWM, VW Passat","Kot, hellbraun, Ekel","Brautkleid, weich, Wolke","hellbraun, ? ?","Spielzeug, Erbse, Fichte","Elefant, Rose, Baby","?, ?, Kirche","hell, schön, Edelstein","groß, gut, ?","Kasperl, Laptop, dumm","angenehm, Gefühl, groß","Geburtstag, Geschenk, ?","Mama, Verzicht, angenehm","mögen, Freundin, ?","rot, Herz, Kind","Husten, Niesen, Schreck","weich, anstrengend, Abgrenzung","Mäntelein, rot, schön","Riesenrad, Wien, Prater","schwarz, Oma, Stille","belastet, Scham, Last","leer, leid tun, Leiter","-bein, Aua, ?","Gefühl, weh, Trauer","Deckfarbkasten, Pinsel, hellbraun","Ruhe, still, Atem","würg, Kot, Spinne","Kränkung, Psychotherapeut, Kuno","dunkel, groß, Handy","stark, explosiv, groß",Hausfrau,Deutsch,7,,"Steiermark, Österreich","Steiermark, Österreich"
837,2019-11-19 09:13:12,65,fr,,2019-11-19 08:53:23,2019-11-19 09:13:12,Female,41,Yes,osier,savoie,pluie,eau,vernis,minou,chat,équitation,animal,veste,quotidien,équation,maison,colombe,monter,afrique,lune,toxique,ferme,physiques,cou,noisette,montagne,vert,odeur,gruyère,rayure,poussin,jus,peur,sang,souris,ciel,cheveux,drap,marron,herbe,fleur,riviere,bleu,banque,rigolade,content,peine,fier,adoration,toujours,apaisement,compréhension,couleur,amour,mélancolie,bêtise,tristesse,dégout,amoureuse,chocolat,angoisse,dédain,haine,colere,bagarre,secrétaire,farncais,8 (Fluent),,france,france
842,2019-11-19 13:04:17,65,fr,,2019-11-19 12:38:46,2019-11-19 13:04:17,Female,19,Yes,Course,Suisse,Ciel,Solide,Main,Chien,Chat,Animal,Animaux,Pull,Ennuis,Communauté,Salle,Colombe,Plan,Souris,Rêveur,Mort,Paille,Logique,Savane,Animal,Mythologie,Légume,Fleur,Chat,Lion,Soleil,Fruit,Blanc,Passion,Couleur,Ciel,Couleur,Noir,Pull,Couleur,Fleur,Sang,Pierre,Plaisir,Bonheur,Bonheur,Paix,Neutre,Identification,Passion,Apaisement,Empathie,Coûeur,Amusement,Aphatie,Tristesse,Nostalgie,Dégoût,Tristesse,Noisette,Angoisse,Mepris,Dégoût,Amour,Énervement,Étudiante,Français,8 (Fluent),,Suisse,Suisse
845,2019-11-19 23:02:55,65,lt,,2019-11-19 22:50:54,2019-11-19 23:02:55,Female,22,Yes,didelis,skylutes,dangus,melynas,pirstas,juoda,naminis,didelis,gyvunas,juodas,nuovargis,daiktas,ilgas,pasaulis,aukstis,didelis,zmogus,pavojingi,geltonas,sunki,auksta,zvitri,laukas,maza,bliuskute,maza,dziungles,saule,apelsinas,smala,roze,masina,jura,spalva,sniegas,spalva,zole,suknele,spalva,amuletas,nauda,laime,zmogus,emocija,malonumas,nuostaba,seile,tyla,gailestis,spalva,didelis,asaros,baime,uzuojauta,didele,kalte,jura,bijoti,eww,pyktis,pyktis,gincas,studente,lietuviu,8 (Fluent),,Lietuva,Lietuvoje
846,2019-11-20 00:35:10,65,de,,2019-11-20 00:08:42,2019-11-20 00:35:10,Female,21,Yes,Ablehnung weide nützlich,Gelb löchrig Maus,Wasser Himmel nass,Wasser viskös fließend,Hammer hand lack,Haustier gemütlich eigensinn,Freund apportieren gassigehen,Reiten Mädchen tier,"Gewalt, Gemütlichkeit, Familie","Mönch, Pullover, KKK",Alltag Ruhe ordnung,Bild Frieden taube,Flur lang eng,Taube Unschuld Krieg,Hoch Verantwortung holz,Grau zoo groß,Drehen Alkohol übelkeit,"Schlange, Tod, Totenkopf","Stroh, Gelb, Pferd",Zahlen Logik spaß,Gefleckt gelb hoch,Nüsse Herbst amerikanisch,Gebirge Physik doppler,Grün weiß rot,Veilchen,Grau,Bengalen Zoo orange,Münzen scheine euro,Feuer freundlichkeit,Gedeckt trauer uni,Warm signal feuer,Ratte alt elefant,Wasser Ozean navy,Kacke Eva AfD,Unschuld Zahn bleiche,Freude neutral,Baum Chlorophyll pflanzen,Pink Mädchen Einhorn,Lila Veilchen flieder,Panik hässlich indifferent,Neugier spaß neues,Vergnügungen Freude Beschäftigung,"Vorurteil, Eltern, Erfolg",Grinsen Spaß lachen,Lächeln Ruhe freude,Staunen respekt,Herz Menschen freunde,Freude Wiedergutmachung,Empathie sozial  menschen,Sims rot extrem,"Spaß, Lachen, Fantasialand",Weinen Tod Niedergeschlagenheit,"Reue, Sühne, Geständnis",Schuld Mut Ehrlichkeit moral,"Röte im Gesicht, Intimbereich, Peinlich",Trauer weinen eltern,Freude lachen ton,"Panik, Schweiß, Herzrasen",Würgen Abneigung giftig,Hass niedertracht zorn,Zorn Extremismus Hässlichkeit,Zorn Hass aggressiv,Student,Deutsch,8 (Fluent),,Deutschland,Deutschland
849,2019-11-20 15:04:00,65,fr,,2019-11-20 14:17:53,2019-11-20 15:04:00,Female,20,Yes,"palmier, courses, marcher","odeur, trou, jaune","léger, blanc, coton","gazeux, eau, solide","dur, coupant, vernis","flemme, doux, dort","animal, doux, obéissant","animal, galop, grand","animal, maison, apprivoisé","protection, chaleur, foncé","cercle, couple, vieux","mathématique, statistique, physique","maison, long, blanc","vert, calme, paisible","monter, descendre, bois","gris, trompe, grand","rond, tomber, étoile","rouge, mauvais, conte","botte, paille, ferme","nombres, école, professeur","jaune, grand, coup","grimper, arbres, rapide","son, onde, raisonnant","vert, légume, nourriture","violet, fleur, apaisant","gris, cours, rat","sauvage, savane, beauté","soleil, briller, temps","mandarine, fruit, couleur","écran, sombre, ombre","colère, sang, amour","souris, éléphant, triste","ciel, mer, clair","cheveux, chaleureux, automne","pure, nuage, coton","caramel, manteau, automne","joue, paix, serein","bonbon, princesse, sucre","oignon, violet, cellules","mer, été, fraicheur","intéressant, curieux, questionnement","joie, fête rire","qualité, défaut, grandeur","heureux, sourire, humeur","insatisfait, incomplet, inachevé","beauté, image, personne","rouge, passion, bonheur","libre, respirer, poids","gentillesse, soutient, réconfort","bouteille, sac, fleur","joie, bonheur, apaisant","pleur, larmes, mal","coupable, lourd, mauvais","tristesse, démuni, solitude","vert, rouge, mal-être","brisé, triste, peine","châtaigne, automne, chocolat","cacher, stresse, horreur","horrible, mauvais, goût","malsain, mauvais, méchant","dégout, déception, colère","rouge, fort, mal",étudiant,Français,8 (Fluent),,Suisse,suisse
850,2019-11-20 15:23:46,65,fr,,2019-11-20 14:29:20,2019-11-20 15:23:46,Female,24,Yes,osier pommes cueillir,souris trous manger,pluie ciel gris,solide eau chimie,cassé court peint,griffes ronronner poils,ami race promener,galop crinière sabot,animaux couple famille,pluie bleu veste,habitude monotone conforme,signe panneau indication,étroit long passage,lâme signe colombe,monter descendre hauteur,gros insulte trompe,maladroit oubli perdre,boire mourir remède,cheval ferme odeur,dur compliqué cauchemar,grande tache cou,chien arbre noisettes,répétitions son échographie,vert legume long,fleur couleur violet,chat fromage petite,extinction dessin-animé félin,soleil drapeau poussin,fruit couleur jus,blanc chat veste,sang vin robe,souris béton chat,eau garçon ciel,peau couleur habits,noir nappe mouchoir,neutre canapé couleur,couleur gazon crayon,fleur couleur fille,violet vin couleur,vert pierre bague,partager personnel économie,jeux divertissement hobby,gagner haut basse,émotion sourire heureux,satisfaction ataraxie paisible,piédestal supérieur modèle,coeur St-Valentin fleur,soupirer douleur diminuer,empathie personne relation,fleur pull crayon,amis manger vacances,pleurer mouchoir film,responsabilité loi sanction,passé responsabilité histoire,gène humilier tristesse,perte tristesse annulation,chocolat chaud couleur,film mythe personel,écoeurer vomir haut-le-coeur,supérieur indigne social,detester hair ennemi,rouge énervé crise,Etudiant,Portugais,8 (Fluent),,Brésil,Suisse
851,2019-11-20 19:42:35,65,fr,,2019-11-20 19:26:42,2019-11-20 19:42:35,Female,20,Yes,"pomme, brun, petit","odeur, jaune, souris","Ciel, blanc, apaisant","Solide, gaz, eau","Manucure, soigné, couleurs",chien poilu doux,"Animal, domestique, compagnon","Grand, doux, poney","chat, chien, souris","veste, fourrure, chaud","Cours, manger, dormir","plus, moins, divisé","Maison, long, tableau","Ciel, décès, ange","Chantier, petit, hauteur","Trompe, gris, grand","Malade, maladroit, gauche","Mort, tragique, mortel","paille, ferme, vache","Cauchemar, hantise, malheur",long tache jaune,"petit, noisette, mignon","Double, voix, raisonnement","Nourriture, vert, mauvais","Violet, fleur, odeur","Petit, gris, rouge",lion zebre panthère,"rouge, blanc, vert","Rouge, fruit, arbre","Sombre, couleur, blanc","jaune, blanc orange","nuage, temps, pluie","Blanc, rouge, ciel","Automne, feuille, mur","noir, pure, ange","mur, vert, bleu",rouge bleu violet,"Bimbo, arbre, meuble","Violet, poulpe, rouge","Couleur, bleu, vert","loisir, hobby, lire","Fête, sortie, rire","Parent, amis, conjoint","Rire, sourire, fête","Minimaliste, strict, minimum","sentiment, grand, personne","Bonheur, malheur, mariage","Stress, anxiété, patience","Amis, sentiment, empathie","Fleur, peignoir, nature","Sexe, fête, amis","Sentiment, personne, déception","regret, passé, erreur","Sentiment, passé, douloureux","Discret, sentiment, regret","Tristesse, affect, personne","brun, automne, bordeaux","angoisse, anxiété, sentiment","Mépris, personne, sentiment","dégout, sentiment, personne","Colère, rage, mépris","haine, rage, sentiment",Étudiante en SSP psychologie,Français,8 (Fluent),,Suisse,Suisse
852,2019-11-20 22:23:49,65,fr,,2019-11-20 22:01:00,2019-11-20 22:23:49,Female,47,Yes,contenant,souris,rêve,fluide,manicure,espliège,animal,équitation,ménager,vêtement,monotonie,signe,passage,sérénité,classement,sagesse,imbécile,mort,ferme,science,Savane,gland,son,légumineuse,plante,chat,félin,jalousie,fruit,obscurité,passion,tristesse,ciel,bois,pureté,mode,espoir,fleur,opulence,couleur,avantage,divertissement,dignité,bonheur,essentiel,compliment,romantisme,apaisement,empathie,féminisme,délice,chagrin,remord,culpabilité,malaise,frustration,automne,effroi,répulsion,dédain,méchanceté,impulsivité,aucun,français,8 (Fluent),,Cameroun,Suisse*
858,2019-11-21 16:14:22,65,fr,,2019-11-21 16:06:57,2019-11-21 16:14:22,Female,20,Yes,osier,odeur,blanc,visqueux,cassé,pelage,chat,course,maison,noir,routinier,signe,maison,tranquillité,grader,trompe,fatigue,mortel,jaune,chiffres,pelage,brun,son,vert,fleur,gris,féroce,canari,rouge,nuit,colère,souris,marin,marron,gris,manteau,haricot,fuchsia,prune,bleu,envie,divertissement,circonstance,jovial,mécontentement,joie,amourette,fatigue,empathie,diable,joie,pleurs,coupable,désarroi,regret,tristesse,chaud,détresse,rejet,dégout,dégout,rouge,étudiante,français/ allemand,8 (Fluent),,Suisse et Portugal,Suisse
859,2019-11-21 16:35:14,65,fr,,2019-11-21 16:22:44,2019-11-21 16:35:14,Female,20,Yes,osier jaune commissions,jaune odorant puant,gris chantilly ouate,visqueux transparent fluide,cassé sale limé,gris domestique dort,domestique laisse aboyer,course queue équitation,chat maison domestiqué,noir pull hiver,routinier habitude monotone,signe fonction lettre,maison hôpital neutre,tranquillité relaxation blanc,grader échelons tomber,gris trompe eau,fatigue sommeil ennui,mortel danger mort,jaune odorant ferme,chiffres calcul résonner,cou long tâches,animal brun sauter,bruit résonance son,vert coco légume,fleurs odeur printemps,fromage jerry attrape,féroce farouche orange,canari poussin fluo,soleil jus sain,chat couleur peau,colère amour passion,souris tapis moquette,ciel marin océan,cheval chien porte,cassé couleur hirondelle,manteau couleur blanc,haricot herbe gazon,bonbon fuchsia fleur,rose film Allen,bleu océan plage,importance envie volonté,joie rigoler divertir,admiration considération sentiment,amusement heureux jovialité,mécontentement facilité acceptation,considération admirable chef,amoureux aléatoire sentiment,expirer relaxation contentement,empathie considération aide,couleur lilas aubergine,joie cool envie,joie pleurs effroi,coupable triste regret,désolé désarroi honte,regret désolé émotion,tristesse colère mécontentement,chaud hiver nourriture,effroi angoisse sentiment,haine rejet dégoutant,dégout rejet rejeté,dégoût effroi hostile,rouge fâché colérique,étudiant,français,Other,,Suisse/Portugal,Suisse
861,2019-11-21 17:43:57,65,en,,2019-11-21 17:17:57,2019-11-21 17:43:57,Male,50,Yes,Bread case bag,Onion sandwich food,Nice drive rain,Beer drink water,Head hammer bite,Dog pet no,Bone tooth poo,Rider main shoe,Home cleaner violence,Robin coat hat,Regular drudge job,Icon sign Greek,School power passage,Calm war love,Rung climb high,Grey huge nelly,Heights spin vertigo,Toxic serum toadstool,Stack sun fever,Fun science structure,Neck tall animal,Nut store rat,Reverb daily space,Bake chips runner,Pink school purple,Mickey cat cheese,Stripes cat lion,Belly coward smoke,Red yellow fruit,Mark bruise dark,Mark sun warmth,Elephant dull silver,Song sky sad,Leather bread belt,Pure black paper,Brown dull ordinary,Grass young giant,Skin lips pig,Blue ultra flower,Blue tortoise sea,Hobby concern books,Laugh joy comedy,Lion prejudice filled,Happiness division stick,Happiness joy family,Like respect envy,Wife family girls,Glad joy lift,Lover care respect,Pink blue rhyme,Joy sex fun,Wow tears down,Shame sad personal,Rue melancholy wish,Sadness what awful,Shame lack sad,Red blue island,Itself peril danger,Revulsion vileness grim,Utter disdain arrogance,Love loath dislike,Rage ire cross,Teacher,English,8 (Fluent),,UK,UK
863,2019-11-21 18:09:31,65,en,,2019-11-21 17:26:04,2019-11-21 18:09:31,Female,33,Yes,Wicker container weave,Stinky board biscuits,Fluffy wet grey,Wet drink pour,Finger hammer metal,Whiskers slinky scowl,Bark loyal friend,Strong work clothes,Clean chores animals,Gangsta coat red,Organised structure same,Sign draw meaning,Long dark narrow,Love quiet safe,Rung climb snakes,Big grey old,Drunk spell faint,Venom chalice snake,Horse bale barn,Logic numbers education,Neck tongue pattern,Nuts tail cheeky,Cave empty sound,Runner stalk pea,Flowers baby soft,Small scurry squeek,Stripes majestic eastern,Daffodil happy bright,Fruit bright autumn,Night dark pitch,Hot fire passion,Clouds old drizzle,Sky eyes sea,Mud poo leather,Clinical blank snow,Fried dull neutral,Grass new spring,Princess fluffy plastic,Flower delicate striking,Stone sea tropical,Loan bank hobby,Giggle entertaining silly,Gay lion achievement,Fun happy sun,Calm happy safe,Pedestal inspiring humble,Warmth close affection,Breathe sigh rest,Kindness warmth stranger,Regal Roman velvet,Guilty naughty secret,Alone crying empty,Crime lies pleasure,Sorrow past dwell,Hiding guilt letdown,Failure expectations sad,Narrowboat chestnut five,Scared spiders run,Filth sick poo,Court anger hurt,Hurt anger violence,Hurt rage shouting,Accountant,English,8 (Fluent),,England,England
868,2019-11-21 19:37:55,65,es,,2019-11-21 19:29:35,2019-11-21 19:37:55,Female,38,Yes,canasto,gruyere,azul,agua,rasguñar,perro,dientes,cuadrúpedo,casa,gorro,tedio,icono,circular,alegría,subir,grande,asco,ratas,navidad,exactitud,alta,avellana,sonido,haba,morado,dientes,feroz,mostaza,fruto,luto,amor,nublado,cielo,café,pureza,neutro,menta,tierno,violeta,piedra,invertir,feria,prejuicio,siempre,feliz,amor,vida,medicina,lástima,placer,amígdala,llanto,proceso,aprendizaje,encovarse,expectativas,flor,muerte,aromas,asco,rechazo,enojo,Profesor,Español,8 (Fluent),,México,México
